31R049,R049,I.S. 49 Berta A. Dreyfus,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Jul 1 1962,Open,R049,101 WARREN STREET,STATEN ISLAND,NY,10304,31,31,R831,COMMUNITY SCHOOL DISTRICT 31
27Q480,Q480,John Adams High School,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jul 1 1930,Open,Q480,101-01 ROCKAWAY BOULEVARD,QUEENS,NY,11417,27,27,Q827,COMMUNITY SCHOOL DISTRICT 27
18K272,K272,P.S. 272 Curtis Estabrook,DOE,General Academic,Elementary,PK 0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1957,Open,K272,101-24 SEAVIEW AVENUE,BROOKLYN,NY,11236,18,18,K818,COMMUNITY SCHOOL DISTRICT 18
12X446,X446,Arturo A. Schomburg Satellite Academy Bronx,DOE,Transfer School,High school,10/11/2012,09 10 11 12,Jul 1 2010,Open,X401,1010 REV. J. A. POLITE AVENUE,BRONX,NY,10459,12,12,X812,COMMUNITY SCHOOL DISTRICT 12
12X480,X480,Bronx Regional High School,DOE,Transfer School,High school,10/11/2012,09 10 11 12,Jun 5 1996,Open,X401,1010 REV. J. A. POLITE AVENUE,BRONX,NY,10459,12,12,X812,COMMUNITY SCHOOL DISTRICT 12
84X200,X200,ROADS Charter School II,Charter,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jul 1 2012,Open,X401,1010 REV. J. A. POLITE AVENUE,BRONX,NY,10459,12,84,K01D,OFFICE OF CHARTER SCHOOLS
16K681,K681,Madiba Prep Middle School,DOE,General Academic,Junior High-Intermediate-Middle,06 07 SE,6/7/2008,Jul 1 2012,Open,K026,1014 LAFAYETTE AVENUE,BROOKLYN,NY,11221,16,16,K816,COMMUNITY SCHOOL DISTRICT 16
16K393,K393,Frederick Douglass Academy IV Secondary School,DOE,General Academic,Secondary School,07 08 09 10 11 12 SE,09 10 11 12,Jul 1 2003,Open,K026,1014 LAFAYETTE AVENUE,BROOKLYN,NY,11221,16,16,K816,COMMUNITY SCHOOL DISTRICT 16
16K026,K026,P.S. 026 Jesse Owens,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1956,Open,K026,1014 LAFAYETTE AVENUE,BROOKLYN,NY,11221,16,16,K816,COMMUNITY SCHOOL DISTRICT 16
09X073,X073,P.S. 073 Bronx,DOE,General Academic,Elementary,PK 0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1926,Open,X073,1020 ANDERSON AVENUE,BRONX,NY,10452,9,9,X809,COMMUNITY SCHOOL DISTRICT 09
12X682,X682,Fannie Lou Hamer Freedom High School,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Sep 1 1994,Open,X878,1021 JENNINGS STREET,BRONX,NY,10460,12,12,X812,COMMUNITY SCHOOL DISTRICT 12
17K181,K181,P.S. 181 Brooklyn,DOE,General Academic,K-8,PK 0K 01 02 03 04 05 06 07 08 SE,PK 0K 01 02 03 04 05 06 07 08,Jul 1 1922,Open,K181,1023 NEW YORK AVENUE,BROOKLYN,NY,11203,17,17,K817,COMMUNITY SCHOOL DISTRICT 17
17K532,K532,New Bridges Elementary,DOE,General Academic,Elementary,0K 01 02 SE,PK 0K 01 02 03 04 05,Jul 1 2013,Open,K167,1025 EASTERN PARKWAY,BROOKLYN,NY,11213,17,17,K817,COMMUNITY SCHOOL DISTRICT 17
17K167,K167,P.S. 167 The Parkway,DOE,General Academic,Elementary,03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1911,Open,K167,1025 EASTERN PARKWAY,BROOKLYN,NY,11213,17,17,K817,COMMUNITY SCHOOL DISTRICT 17
84K741,K741,Success Academy Crown Heights (Brooklyn 7),Charter,General Academic,Elementary,0K 01 02 03 04 05,0K 01 02 03 04 05,Jul 1 2013,Open,K167,1025 EASTERN PARKWAY,BROOKLYN,NY,11213,17,84,K01D,OFFICE OF CHARTER SCHOOLS
